region13,year,total_cases,civil_main,criminal_trial
서울,2019,556780.0,489771.0,48225.0
경기,2019,193727.0,130313.0,49508.0
인천,2019,78587.0,51409.0,21906.0
강원,2019,24022.0,14139.0,8016.0
충북,2019,23912.0,15193.0,6984.0
대전권,2019,63249.0,39891.0,18402.0
대구권,2019,81716.0,51085.0,24768.0
부산,2019,72312.0,49489.0,18616.0
울산,2019,23715.0,14062.0,7644.0
경남,2019,48991.0,31079.0,14148.0
광주권,2019,57431.0,36355.0,16842.0
전북,2019,28412.0,18400.0,7930.0
제주,2019,13537.0,8417.0,4074.0
서울,2020,493711.0,427594.0,47673.0
경기,2020,212675.0,144217.0,54601.0
인천,2020,87387.0,57212.0,24850.0
강원,2020,23516.0,14277.0,7551.0
충북,2020,25221.0,16761.0,6733.0
대전권,2020,66528.0,43052.0,18591.0
대구권,2020,86089.0,54335.0,26249.0
부산,2020,73992.0,51766.0,18095.0
울산,2020,25350.0,15712.0,7748.0
경남,2020,51823.0,32949.0,15375.0
광주권,2020,61729.0,38792.0,18960.0
전북,2020,31416.0,20701.0,8681.0
제주,2020,15008.0,9040.0,5047.0
서울,2021,420395.0,361446.0,40354.0
경기,2021,190915.0,129020.0,47379.0
인천,2021,77452.0,49280.0,22481.0
강원,2021,21850.0,13139.0,7054.0
충북,2021,22835.0,15064.0,6110.0
대전권,2021,62506.0,40666.0,17011.0
대구권,2021,78349.0,50164.0,23032.0
부산,2021,65615.0,46602.0,14915.0
울산,2021,23525.0,14800.0,6703.0
경남,2021,47922.0,30770.0,13768.0
광주권,2021,55879.0,36073.0,15814.0
전북,2021,28840.0,19120.0,7751.0
제주,2021,13424.0,8520.0,3956.0
서울,2022,403229.0,347994.0,38641.0
경기,2022,172183.0,113356.0,44798.0
인천,2022,70191.0,44914.0,19933.0
강원,2022,20486.0,11398.0,7534.0
충북,2022,21075.0,12757.0,6720.0
대전권,2022,56358.0,35175.0,16639.0
대구권,2022,70981.0,43763.0,22288.0
부산,2022,61627.0,41859.0,15999.0
울산,2022,21000.0,12163.0,6918.0
경남,2022,42097.0,24935.0,13846.0
광주권,2022,50157.0,31687.0,14753.0
전북,2022,25676.0,16606.0,7219.0
제주,2022,12991.0,7516.0,4620.0
서울,2023,421777.0,362824.0,42641.0
경기,2023,187794.0,124847.0,49218.0
인천,2023,76123.0,48663.0,22503.0
강원,2023,20747.0,12063.0,7172.0
충북,2023,23250.0,14470.0,7053.0
대전권,2023,61101.0,38342.0,18234.0
대구권,2023,69909.0,43400.0,21868.0
부산,2023,61330.0,40376.0,17504.0
울산,2023,22143.0,12150.0,8214.0
경남,2023,41381.0,24502.0,13712.0
광주권,2023,53633.0,33844.0,16080.0
전북,2023,26584.0,16901.0,7901.0
제주,2023,13394.0,7689.0,4881.0
서울,2024,398500.0,340346.0,41876.0
경기,2024,200902.0,138246.0,48930.0
인천,2024,81341.0,54582.0,22003.0
강원,2024,23226.0,13904.0,7805.0
충북,2024,24972.0,15708.0,7690.0
대전권,2024,67013.0,43280.0,19380.0
대구권,2024,78234.0,49661.0,23805.0
부산,2024,64768.0,43434.0,18049.0
울산,2024,22465.0,13675.0,6967.0
경남,2024,43385.0,27262.0,13138.0
광주권,2024,59419.0,38921.0,16962.0
전북,2024,27523.0,17321.0,8504.0
제주,2024,14778.0,9026.0,4872.0
