region10,year,aid_cases
강원,2012,4635
강원,2013,4570
강원,2014,5064
강원,2015,5253
강원,2016,4716
강원,2017,4861
강원,2018,4769
강원,2019,5089
강원,2020,3921
강원,2021,3662
강원,2022,2423
강원,2023,2457
강원,2024,3020
강원,2025,2968
경기,2012,32263
경기,2013,34512
경기,2014,34620
경기,2015,35881
경기,2016,38360
경기,2017,38145
경기,2018,41038
경기,2019,46058
경기,2020,36508
경기,2021,35146
경기,2022,24817
경기,2023,28569
경기,2024,31645
경기,2025,37480
경남권,2012,19400
경남권,2013,20612
경남권,2014,20843
경남권,2015,21815
경남권,2016,23159
경남권,2017,23626
경남권,2018,23696
경남권,2019,27994
경남권,2020,24189
경남권,2021,22190
경남권,2022,18588
경남권,2023,20171
경남권,2024,22035
경남권,2025,24439
경북권,2012,12892
경북권,2013,13436
경북권,2014,15460
경북권,2015,16216
경북권,2016,15707
경북권,2017,15586
경북권,2018,14913
경북권,2019,15782
경북권,2020,13094
경북권,2021,12544
경북권,2022,10155
경북권,2023,11336
경북권,2024,12661
경북권,2025,13482
서울,2012,29298
서울,2013,31535
서울,2014,33093
서울,2015,34602
서울,2016,33246
서울,2017,33056
서울,2018,33627
서울,2019,33706
서울,2020,30263
서울,2021,27676
서울,2022,21245
서울,2023,21262
서울,2024,22072
서울,2025,23343
전남권,2012,8000
전남권,2013,9439
전남권,2014,9457
전남권,2015,9078
전남권,2016,9358
전남권,2017,9528
전남권,2018,10464
전남권,2019,11741
전남권,2020,9514
전남권,2021,9141
전남권,2022,8162
전남권,2023,8267
전남권,2024,8742
전남권,2025,10099
전북,2012,5776
전북,2013,6457
전북,2014,6820
전북,2015,6268
전북,2016,6788
전북,2017,7077
전북,2018,7087
전북,2019,7857
전북,2020,6458
전북,2021,6459
전북,2022,4582
전북,2023,4377
전북,2024,4935
전북,2025,5747
제주,2012,1352
제주,2013,1877
제주,2014,1968
제주,2015,1969
제주,2016,2110
제주,2017,2088
제주,2018,2309
제주,2019,2821
제주,2020,2140
제주,2021,2012
제주,2022,1767
제주,2023,1911
제주,2024,2495
제주,2025,3093
충남권,2012,8283
충남권,2013,9131
충남권,2014,11245
충남권,2015,11693
충남권,2016,11987
충남권,2017,10197
충남권,2018,10903
충남권,2019,11984
충남권,2020,8766
충남권,2021,9408
충남권,2022,7402
충남권,2023,6491
충남권,2024,6686
충남권,2025,7039
충북,2012,4999
충북,2013,5178
충북,2014,5283
충북,2015,5386
충북,2016,4657
충북,2017,5282
충북,2018,5779
충북,2019,5007
충북,2020,4145
충북,2021,3364
충북,2022,2746
충북,2023,2855
충북,2024,2891
충북,2025,2948
