region10,year,aid_cases
강원,2012,78
강원,2013,50
강원,2014,51
강원,2015,48
강원,2016,63
강원,2017,64
강원,2018,54
강원,2019,33
강원,2020,4
경기,2012,713
경기,2013,713
경기,2014,817
경기,2015,736
경기,2016,588
경기,2017,727
경기,2018,822
경기,2019,399
경기,2020,21
경남권,2012,1047
경남권,2013,1559
경남권,2014,1647
경남권,2015,1775
경남권,2016,1921
경남권,2017,1502
경남권,2018,1118
경남권,2019,940
경남권,2020,135
경북권,2012,686
경북권,2013,683
경북권,2014,798
경북권,2015,753
경북권,2016,593
경북권,2017,465
경북권,2018,398
경북권,2019,239
경북권,2020,33
서울,2012,574
서울,2013,667
서울,2014,680
서울,2015,626
서울,2016,509
서울,2017,416
서울,2018,282
서울,2019,169
서울,2020,14
전남권,2012,162
전남권,2013,187
전남권,2014,92
전남권,2015,63
전남권,2016,113
전남권,2017,201
전남권,2018,104
전남권,2019,81
전남권,2020,17
전북,2012,110
전북,2013,93
전북,2014,74
전북,2015,70
전북,2016,138
전북,2017,115
전북,2018,105
전북,2019,60
전북,2020,8
제주,2012,57
제주,2013,93
제주,2014,133
제주,2015,79
제주,2016,75
제주,2017,75
제주,2018,44
제주,2019,24
제주,2020,2
충남권,2012,231
충남권,2013,223
충남권,2014,217
충남권,2015,142
충남권,2016,121
충남권,2017,133
충남권,2018,86
충남권,2019,42
충남권,2020,5
충북,2012,28
충북,2013,63
충북,2014,75
충북,2015,94
충북,2016,53
충북,2017,67
충북,2018,39
충북,2019,43
충북,2020,3
