sido_name,year,grdp_per_capita
강원도,2008,19593.0
강원도,2009,20345.0
강원도,2010,21312.0
강원도,2011,22088.0
강원도,2012,22973.0
강원도,2013,24094.0
강원도,2014,25676.0
강원도,2015,26946.0
강원도,2016,28328.0
강원도,2017,29925.0
강원도,2018,30856.0
강원도,2019,32192.0
강원도,2020,32026.0
강원도,2021,33679.0
강원도,2022,34426.0
경기도,2008,20863.0
경기도,2009,21731.0
경기도,2010,23972.0
경기도,2011,24763.0
경기도,2012,26007.0
경기도,2013,27492.0
경기도,2014,28638.0
경기도,2015,30748.0
경기도,2016,32336.0
경기도,2017,35307.0
경기도,2018,36821.0
경기도,2019,36064.0
경기도,2020,36521.0
경기도,2021,38879.0
경기도,2022,39969.0
경상남도,2008,26038.0
경상남도,2009,26942.0
경상남도,2010,28026.0
경상남도,2011,29072.0
경상남도,2012,30124.0
경상남도,2013,30416.0
경상남도,2014,30555.0
경상남도,2015,32007.0
경상남도,2016,32758.0
경상남도,2017,32789.0
경상남도,2018,32993.0
경상남도,2019,34040.0
경상남도,2020,33186.0
경상남도,2021,34046.0
경상남도,2022,36501.0
경상북도,2008,28945.0
경상북도,2009,30021.0
경상북도,2010,33341.0
경상북도,2011,34408.0
경상북도,2012,35014.0
경상북도,2013,36533.0
경상북도,2014,38742.0
경상북도,2015,38510.0
경상북도,2016,40040.0
경상북도,2017,41130.0
경상북도,2018,40677.0
경상북도,2019,40082.0
경상북도,2020,39887.0
경상북도,2021,42896.0
경상북도,2022,43886.0
광주광역시,2008,16525.0
광주광역시,2009,17031.0
광주광역시,2010,18667.0
광주광역시,2011,19093.0
광주광역시,2012,19799.0
광주광역시,2013,20789.0
광주광역시,2014,21944.0
광주광역시,2015,23139.0
광주광역시,2016,24511.0
광주광역시,2017,25240.0
광주광역시,2018,26654.0
광주광역시,2019,27799.0
광주광역시,2020,28433.0
광주광역시,2021,29779.0
광주광역시,2022,30900.0
대구광역시,2008,15049.0
대구광역시,2009,15289.0
대구광역시,2010,16379.0
대구광역시,2011,17170.0
대구광역시,2012,18078.0
대구광역시,2013,18946.0
대구광역시,2014,19725.0
대구광역시,2015,20991.0
대구광역시,2016,21602.0
대구광역시,2017,22310.0
대구광역시,2018,23151.0
대구광역시,2019,23883.0
대구광역시,2020,23910.0
대구광역시,2021,25543.0
대구광역시,2022,26736.0
대전광역시,2008,17426.0
대전광역시,2009,18518.0
대전광역시,2010,19950.0
대전광역시,2011,20728.0
대전광역시,2012,21347.0
대전광역시,2013,21793.0
대전광역시,2014,22497.0
대전광역시,2015,24094.0
대전광역시,2016,25606.0
대전광역시,2017,26533.0
대전광역시,2018,27214.0
대전광역시,2019,28561.0
대전광역시,2020,29757.0
대전광역시,2021,31590.0
대전광역시,2022,33682.0
부산광역시,2008,18167.0
부산광역시,2009,18208.0
부산광역시,2010,19223.0
부산광역시,2011,19700.0
부산광역시,2012,20554.0
부산광역시,2013,21217.0
부산광역시,2014,22467.0
부산광역시,2015,23956.0
부산광역시,2016,24815.0
부산광역시,2017,25650.0
부산광역시,2018,26464.0
부산광역시,2019,27577.0
부산광역시,2020,27204.0
부산광역시,2021,29395.0
부산광역시,2022,31611.0
서울특별시,2008,27894.0
서울특별시,2009,28967.0
서울특별시,2010,31053.0
서울특별시,2011,32407.0
서울특별시,2012,33312.0
서울특별시,2013,34105.0
서울특별시,2014,35113.0
서울특별시,2015,37236.0
서울특별시,2016,39356.0
서울특별시,2017,41374.0
서울특별시,2018,43664.0
서울특별시,2019,45118.0
서울특별시,2020,46221.0
서울특별시,2021,49680.0
서울특별시,2022,51612.0
세종특별자치시,2013,55189.0
세종특별자치시,2014,62944.0
세종특별자치시,2015,49474.0
세종특별자치시,2016,42572.0
세종특별자치시,2017,40043.0
세종특별자치시,2018,36570.0
세종특별자치시,2019,35802.0
세종특별자치시,2020,36473.0
세종특별자치시,2021,38157.0
세종특별자치시,2022,37875.0
울산광역시,2008,48794.0
울산광역시,2009,46624.0
