sido_name,year,population
강원특별자치도,2008,1508575.0
강원특별자치도,2009,1512870.0
강원특별자치도,2010,1529818.0
강원특별자치도,2011,1536448.0
강원특별자치도,2012,1538630.0
강원특별자치도,2013,1542263.0
강원특별자치도,2014,1544442.0
강원특별자치도,2015,1549507.0
강원특별자치도,2016,1550806.0
강원특별자치도,2017,1550142.0
강원특별자치도,2018,1543052.0
강원특별자치도,2019,1541502.0
강원특별자치도,2020,1542840.0
강원특별자치도,2021,1538492.0
강원특별자치도,2022,1536498.0
강원특별자치도,2023,1527807.0
강원특별자치도,2024,1517766.0
강원특별자치도,2025,1508500.0
경기도,2008,11292264.0
경기도,2009,11460610.0
경기도,2010,11786622.0
경기도,2011,11937415.0
경기도,2012,12093299.0
경기도,2013,12234630.0
경기도,2014,12357830.0
경기도,2015,12522606.0
경기도,2016,12716780.0
경기도,2017,12873895.0
경기도,2018,13077153.0
경기도,2019,13239666.0
경기도,2020,13427014.0
경기도,2021,13565450.0
경기도,2022,13589432.0
경기도,2023,13630821.0
경기도,2024,13694685.0
경기도,2025,13730135.0
경상남도,2008,3225255.0
경상남도,2009,3250176.0
경상남도,2010,3290536.0
경상남도,2011,3308765.0
경상남도,2012,3319314.0
경상남도,2013,3333820.0
경상남도,2014,3350257.0
경상남도,2015,3364702.0
경상남도,2016,3373871.0
경상남도,2017,3380404.0
경상남도,2018,3373988.0
경상남도,2019,3362553.0
경상남도,2020,3340216.0
경상남도,2021,3314183.0
경상남도,2022,3280493.0
경상남도,2023,3251158.0
경상남도,2024,3228380.0
경상남도,2025,3207383.0
경상북도,2008,2673931.0
경상북도,2009,2669876.0
경상북도,2010,2689920.0
경상북도,2011,2699195.0
경상북도,2012,2698353.0
경상북도,2013,2699440.0
경상북도,2014,2700794.0
경상북도,2015,2702826.0
경상북도,2016,2700398.0
경상북도,2017,2691706.0
경상북도,2018,2676831.0
경상북도,2019,2665836.0
경상북도,2020,2639422.0
경상북도,2021,2626609.0
경상북도,2022,2600492.0
경상북도,2023,2554324.0
경상북도,2024,2531384.0
경상북도,2025,2506526.0
광주광역시,2008,1422702.0
광주광역시,2009,1433640.0
광주광역시,2010,1454636.0
광주광역시,2011,1463464.0
광주광역시,2012,1469216.0
광주광역시,2013,1472910.0
광주광역시,2014,1475884.0
광주광역시,2015,1472199.0
광주광역시,2016,1469214.0
광주광역시,2017,1463770.0
광주광역시,2018,1459336.0
광주광역시,2019,1456468.0
광주광역시,2020,1450062.0
광주광역시,2021,1441611.0
광주광역시,2022,1431050.0
광주광역시,2023,1419237.0
광주광역시,2024,1408422.0
광주광역시,2025,1392013.0
대구광역시,2008,2492724.0
대구광역시,2009,2489781.0
대구광역시,2010,2511676.0
대구광역시,2011,2507271.0
대구광역시,2012,2505644.0
대구광역시,2013,2501588.0
대구광역시,2014,2493264.0
대구광역시,2015,2487829.0
대구광역시,2016,2484557.0
대구광역시,2017,2475231.0
대구광역시,2018,2461769.0
대구광역시,2019,2438031.0
대구광역시,2020,2418346.0
대구광역시,2021,2385412.0
대구광역시,2022,2363691.0
대구광역시,2023,2374960.0
대구광역시,2024,2363629.0
대구광역시,2025,2353032.0
대전광역시,2008,1480895.0
대전광역시,2009,1484180.0
대전광역시,2010,1503664.0
대전광역시,2011,1515603.0
대전광역시,2012,1524583.0
대전광역시,2013,1532811.0
대전광역시,2014,1531809.0
대전광역시,2015,1518775.0
대전광역시,2016,1514370.0
대전광역시,2017,1502227.0
대전광역시,2018,1489936.0
대전광역시,2019,1474870.0
대전광역시,2020,1463882.0
대전광역시,2021,1452251.0
대전광역시,2022,1446072.0
대전광역시,2023,1442216.0
대전광역시,2024,1439157.0
대전광역시,2025,1440729.0
부산광역시,2008,3564577.0
부산광역시,2009,3543030.0
부산광역시,2010,3567910.0
부산광역시,2011,3550963.0
부산광역시,2012,3538484.0
부산광역시,2013,3527635.0
부산광역시,2014,3519401.0
부산광역시,2015,3513777.0
부산광역시,2016,3498529.0
부산광역시,2017,3470653.0
부산광역시,2018,3441453.0
부산광역시,2019,3413841.0
부산광역시,2020,3391946.0
부산광역시,2021,3350380.0
부산광역시,2022,3317812.0
부산광역시,2023,3293362.0
부산광역시,2024,3266598.0
부산광역시,2025,3241600.0
서울특별시,2008,10200827.0
서울특별시,2009,10208302.0
서울특별시,2010,10312545.0
서울특별시,2011,10249679.0
서울특별시,2012,10195318.0
서울특별시,2013,10143645.0
서울특별시,2014,10103233.0
서울특별시,2015,10022181.0
서울특별시,2016,9930616.0
서울특별시,2017,9857426.0
서울특별시,2018,9765623.0
