region,year,population,low_income_pop,grdp_per_capita,business_count,judges,practicing,aid_cases,total_cases,civil_main,criminal_trial
서울,2008,10200827.0,,27894.0,,,,,,,
경기,2008,13984960.0,,20691.05974933071,,,,,,,
강원,2008,1508575.0,,19593.0,,,,,,,
충북,2008,1519587.0,,22378.0,,,,,,,
충남권,2008,3499432.0,,26206.33069766751,,,,,,,
경북권,2008,5166655.0,,22240.683047542367,,,,,,,
경남권,2008,7902239.0,,25690.901933869627,,,,,,,
전북,2008,1855772.0,,18355.0,,,,,,,
전남권,2008,3341702.0,,24355.011473195395,,,,,,,
제주,2008,560618.0,,17655.0,,,,,,,
서울,2009,10208302.0,202445.0,28967.0,,,,,,,
경기,2009,14171189.0,270734.0,21566.504420976955,,,,,,,
강원,2009,1512870.0,63753.0,20345.0,,,,,,,
충북,2009,1527478.0,53432.0,23467.0,,,,,,,
충남권,2009,3521762.0,115610.0,28646.427330410177,,,,,,,
경북권,2009,5159657.0,221135.0,22912.10619329928,,,,,,,
경남권,2009,7908072.0,257599.0,25803.66547193804,,,,,,,
전북,2009,1854508.0,108326.0,19926.0,,,,,,,
전남권,2009,3346644.0,167487.0,24269.97810941349,,,,,,,
제주,2009,562663.0,22198.0,19421.0,,,,,,,
서울,2010,10312545.0,201204.0,31053.0,,,,,,,
경기,2010,14544918.0,266351.0,23832.04579413923,,,,,,,
강원,2010,1529818.0,62850.0,21312.0,,,,,,,
충북,2010,1549528.0,51817.0,26455.0,,,,,,,
충남권,2010,3579178.0,112884.0,32134.55750677949,,,,,,,
경북권,2010,5201596.0,218143.0,25150.619910504392,,,,,,,
경남권,2010,7984744.0,254538.0,27979.828808036928,,,,,,,
전북,2010,1868963.0,105192.0,21016.0,,,,,,,
전남권,2010,3373121.0,162799.0,27824.550821627803,,,,,,,
제주,2010,571255.0,22420.0,20366.0,,,,,,,
서울,2011,10249679.0,194119.0,32407.0,,,,,,,
경기,2011,14738689.0,254825.0,24500.903632677233,,,,,,,
강원,2011,1536448.0,58949.0,22088.0,,,,,,,
충북,2011,1562903.0,47909.0,28050.0,,,,,,,
충남권,2011,3616887.0,105252.0,34104.13334782093,,,,,,,
경북권,2011,5206466.0,205740.0,26106.718958694823,,,,,,,
경남권,2011,7995222.0,243705.0,29551.251878934694,,,,,,,
전북,2011,1874031.0,97559.0,22136.0,,,,,,,
전남권,2011,3377803.0,150113.0,28421.554667042452,,,,,,,
제주,2011,576156.0,21694.0,22041.0,,,,,,,
서울,2012,10195318.0,188017.0,33312.0,,,,29298.0,,,
경기,2012,14937280.0,244868.0,25581.086748256712,,,,32263.0,,,
강원,2012,1538630.0,54936.0,22973.0,,,,4635.0,,,
충북,2012,1565628.0,43908.0,29177.0,,,,4999.0,,,
충남권,2012,3666477.0,98226.0,34321.178959632576,,,,8283.0,,,
경북권,2012,5203997.0,190992.0,26859.578161555437,,,,12892.0,,,
경남권,2012,8005054.0,231028.0,30496.79902521582,,,,19400.0,,,
전북,2012,1873341.0,89906.0,22670.0,,,,5776.0,,,
전남권,2012,3378834.0,138777.0,29068.929933225485,,,,8000.0,,,
제주,2012,583713.0,19841.0,23525.0,,,,1352.0,,,
서울,2013,10143645.0,190480.0,34105.0,,,,31535.0,,,
경기,2013,15114412.0,241637.0,26926.881528173242,,,,34512.0,,,
강원,2013,1542263.0,52402.0,24094.0,,,,4570.0,,,
충북,2013,1572732.0,40668.0,30507.0,,,,5178.0,,,
충남권,2013,3702595.0,93765.0,36033.01038595904,,,,9131.0,,,
경북권,2013,5201028.0,182917.0,28074.0130158884,,,,13436.0,,,
경남권,2013,8017935.0,221869.0,31018.490715502183,,,,20612.0,,,
전북,2013,1872965.0,84720.0,23876.0,,,,6457.0,,,
전남권,2013,3380082.0,131057.0,30084.827349750685,,,,9439.0,,,
제주,2013,593806.0,19067.0,24491.0,,,,1877.0,,,
서울,2014,10103233.0,194808.0,35113.0,,,,33093.0,,,
경기,2014,15260438.0,243043.0,28149.173757922283,,,,34620.0,,,
강원,2014,1544442.0,50943.0,25676.0,,,,5064.0,,,
충북,2014,1578933.0,39339.0,31729.0,,,,5283.0,,,
충남권,2014,3750207.0,91505.0,37303.33161689475,,,,11245.0,,,
경북권,2014,5194058.0,176189.0,29613.414703493876,,,,15460.0,,,
경남권,2014,8036035.0,216257.0,31420.844188334173,,,,20843.0,,,
