region,year,population,low_income_pop,grdp_per_capita,practicing,aid_cases,total_cases,civil_main,criminal_trial
서울,2008,10200827.0,,27894.0,,,,,
경기,2008,11292264.0,,20863.0,,,,,
인천,2008,2692696.0,,19970.0,,,,,
강원,2008,1508575.0,,,,,,,
충북,2008,1519587.0,,22378.0,,,,,
대전권,2008,3499432.0,,26206.33069766751,,,,,
대구권,2008,5166655.0,,22240.683047542367,,,,,
부산,2008,3564577.0,,18167.0,,,,,
울산,2008,1112407.0,,48794.0,,,,,
경남,2008,3225255.0,,26038.0,,,,,
광주권,2008,3341702.0,,24355.011473195395,,,,,
전북,2008,1855772.0,,,,,,,
제주,2008,560618.0,,17655.0,,,,,
서울,2009,10208302.0,202445.0,28967.0,,,,,
경기,2009,11460610.0,201012.0,21731.0,,,,,
인천,2009,2710579.0,69722.0,20871.0,,,,,
강원,2009,1512870.0,63753.0,,,,,,
충북,2009,1527478.0,53432.0,23467.0,,,,,
대전권,2009,3521762.0,115610.0,28646.427330410177,,,,,
대구권,2009,5159657.0,221135.0,22912.10619329928,,,,,
부산,2009,3543030.0,138062.0,18208.0,,,,,
울산,2009,1114866.0,18388.0,46624.0,,,,,
경남,2009,3250176.0,101149.0,26942.0,,,,,
광주권,2009,3346644.0,167487.0,24269.97810941349,,,,,
전북,2009,1854508.0,108326.0,,,,,,
제주,2009,562663.0,22198.0,19421.0,,,,,
서울,2010,10312545.0,201204.0,31053.0,,,,,
경기,2010,11786622.0,196412.0,23972.0,,,,,
인천,2010,2758296.0,69939.0,23234.0,,,,,
강원,2010,1529818.0,62850.0,,,,,,
충북,2010,1549528.0,51817.0,26455.0,,,,,
대전권,2010,3579178.0,112884.0,32134.55750677949,,,,,
대구권,2010,5201596.0,218143.0,25150.619910504392,,,,,
부산,2010,3567910.0,138317.0,19223.0,,,,,
울산,2010,1126298.0,17802.0,55585.0,,,,,
경남,2010,3290536.0,98419.0,28026.0,,,,,
광주권,2010,3373121.0,162799.0,27824.550821627803,,,,,
전북,2010,1868963.0,105192.0,,,,,,
제주,2010,571255.0,22420.0,20366.0,,,,,
서울,2011,10249679.0,194119.0,32407.0,,,,,
경기,2011,11937415.0,186896.0,24763.0,,,,,
인천,2011,2801274.0,67929.0,23384.0,,,,,
강원,2011,1536448.0,58949.0,,,,,,
충북,2011,1562903.0,47909.0,28050.0,,,,,
대전권,2011,3616887.0,105252.0,34104.13334782093,,,,,
대구권,2011,5206466.0,205740.0,26106.718958694823,,,,,
부산,2011,3550963.0,134837.0,19700.0,,,,,
울산,2011,1135494.0,16194.0,61755.0,,,,,
경남,2011,3308765.0,92674.0,29072.0,,,,,
광주권,2011,3377803.0,150113.0,28421.554667042452,,,,,
전북,2011,1874031.0,97559.0,,,,,,
제주,2011,576156.0,21694.0,22041.0,,,,,
서울,2012,10195318.0,188017.0,33312.0,,29298.0,,,
경기,2012,12093299.0,178155.0,26007.0,,26120.291354048393,,,
인천,2012,2843981.0,66713.0,23770.0,,6142.708645951606,,,
강원,2012,1538630.0,54936.0,,,4635.0,,,
충북,2012,1565628.0,43908.0,29177.0,,4999.0,,,
대전권,2012,3666477.0,98226.0,34321.178959632576,,8283.0,,,
대구권,2012,5203997.0,190992.0,26859.578161555437,,12892.0,,,
부산,2012,3538484.0,128650.0,20554.0,,8575.406187141274,,,
울산,2012,1147256.0,14819.0,62242.0,,2780.3393206341893,,,
경남,2012,3319314.0,87559.0,30124.0,,8044.254492224537,,,
광주권,2012,3378834.0,138777.0,29068.929933225485,,8000.0,,,
전북,2012,1873341.0,89906.0,,,5776.0,,,
제주,2012,583713.0,19841.0,23525.0,,1352.0,,,
서울,2013,10143645.0,190480.0,34105.0,,31535.0,,,
경기,2013,12234630.0,175069.0,27492.0,,27936.353101926823,,,
인천,2013,2879782.0,66568.0,24526.0,,6575.646898073177,,,
강원,2013,1542263.0,52402.0,,,4570.0,,,
충북,2013,1572732.0,40668.0,30507.0,,5178.0,,,
대전권,2013,3702595.0,93765.0,36033.01038595904,,9131.0,,,
대구권,2013,5201028.0,182917.0,28074.0130158884,,13436.0,,,
부산,2013,3527635.0,124218.0,21217.0,,9068.620863102533,,,
울산,2013,1156480.0,14339.0,62653.0,,2973.005613041263,,,
경남,2013,3333820.0,83312.0,30416.0,,8570.373523856204,,,
광주권,2013,3380082.0,131057.0,30084.827349750685,,9439.0,,,
전북,2013,1872965.0,84720.0,,,6457.0,,,
제주,2013,593806.0,19067.0,24491.0,,1877.0,,,
서울,2014,10103233.0,194808.0,35113.0,,33093.0,,,
경기,2014,12357830.0,175449.0,28638.0,,28035.11108920989,,,
인천,2014,2902608.0,67594.0,26068.0,,6584.88891079011,,,
강원,2014,1544442.0,50943.0,,,5064.0,,,
충북,2014,1578933.0,39339.0,31729.0,,5283.0,,,
대전권,2014,3750207.0,91505.0,37303.33161689475,,11245.0,,,
대구권,2014,5194058.0,176189.0,29613.414703493876,,15460.0,,,
부산,2014,3519401.0,120989.0,22467.0,,9128.24235372295,,,
울산,2014,1166377.0,14396.0,60925.0,,3025.2227387013622,,,
경남,2014,3350257.0,80872.0,30555.0,,8689.53490757569,,,
광주권,2014,3381664.0,125878.0,30402.513920957255,,9457.0,,,
전북,2014,1871560.0,81465.0,,,6820.0,,,
제주,2014,607346.0,17959.0,25968.0,,1968.0,,,
서울,2015,10022181.0,246580.0,37236.0,,34602.0,,,
경기,2015,12522606.0,243282.0,30748.0,,29085.407879938022,,,
인천,2015,2925815.0,92872.0,27798.0,,6795.59212006198,,,
강원,2015,1549507.0,59442.0,,,5253.0,,,
충북,2015,1583952.0,49727.0,34728.0,,5386.0,,,
대전권,2015,3807308.0,113728.0,38639.6963794366,,11693.0,,,
대구권,2015,5190655.0,209617.0,30113.31860795988,,16216.0,,,
부산,2015,3513777.0,146599.0,23956.0,,9519.736897468993,,,
울산,2015,1173534.0,20343.0,62605.0,,3179.409199910631,,,
경남,2015,3364702.0,100991.0,32007.0,,9115.853902620376,,,
광주권,2015,3381195.0,151065.0,31720.799984916575,,9078.0,,,
전북,2015,1869711.0,97750.0,,,6268.0,,,
제주,2015,624395.0,22488.0,28280.0,,1969.0,,,
서울,2016,9930616.0,255226.0,39356.0,,33246.0,,,
경기,2016,12716780.0,248944.0,32336.0,,31150.72698338279,,,
인천,2016,2943069.0,95767.0,29120.0,,7209.2730166172105,,,
강원,2016,1550806.0,58500.0,,,4716.0,,,
충북,2016,1591625.0,48294.0,37273.0,,4657.0,,,
대전권,2016,3854145.0,113077.0,40090.31409145219,,11987.0,,,
대구권,2016,5184955.0,200073.0,31204.77154266527,,15707.0,,,
부산,2016,3498529.0,143911.0,24815.0,,10071.524460191451,,,
울산,2016,1172304.0,17687.0,64021.0,,3374.8150753588943,,,
경남,2016,3373871.0,98229.0,32758.0,,9712.660464449655,,,
광주권,2016,3373128.0,144126.0,33154.204492091616,,9358.0,,,
전북,2016,1864791.0,94287.0,,,6788.0,,,
제주,2016,641597.0,21418.0,30284.0,,2110.0,,,
