"행정구역별(시도)","성별","연령별","항목","단위","2009 년","2010 년","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년","2023 년","2024 년",
"전국","계","계","수급자수","","1482719","1458198","1379865","1300499","1258582","1237386","1554484","1539539","1491650","1653781","1792012","2046213","2268852","2359228","2458608","2573778",
"전국","계","0 - 4세","수급자수","","28338","27106","25014","22412","20871","20428","24242","21988","19886","21744","24198","27383","27473","25829","25145","24655",
"전국","계","0세","수급자수","","3523","3711","3570","3091","2631","2582","3084","2640","2370","2630","2691","2963","2747","2459","2546","2497",
"전국","계","1세","수급자수","","4988","4552","4551","4250","3902","3479","4121","3916","3491","3664","4181","4652","4653","4038","3951","4028",
"전국","계","2세","수급자수","","6133","5521","4694","4654","4527","4281","4694","4424","4155","4438","4771","5551","5639","5292","4846","4884",
"전국","계","3세","수급자수","","6392","6552","5591","4744","4872","4882","5752","4973","4630","5222","5770","6349","6685","6427","6251","5801",
"전국","계","4세","수급자수","","7302","6770","6608","5673","4939","5204","6591","6035","5240","5790","6785","7868","7749","7613","7551","7445",
"전국","계","5 - 9세","수급자수","","65428","56051","47787","41804","37804","34928","73176","73282","65139","64948","68695","75857","79313","75178","73831","72880",
"전국","계","5세","수급자수","","8714","7721","6896","6699","5944","5272","6977","6933","6355","6627","7372","9174","9653","8839","8898","8865",
"전국","계","6세","수급자수","","10314","9175","7816","6943","6916","6309","6999","7419","7321","7991","8274","9896","11117","10869","10172","10445",
"전국","계","7세","수급자수","","12156","10816","9260","7895","7232","7320","18173","15883","15238","15796","16226","16216","17305","16565","16108","15097",
"전국","계","8세","수급자수","","15155","12669","10965","9300","8146","401","20667","20246","16398","17066","17906","19344","18966","18587","18421","18101",
"전국","계","9세","수급자수","","19089","15670","12850","10967","9566","259","20360","22801","19827","17468","18917","21227","22272","20318","20232","20372",
"전국","계","10 - 14세","수급자수","","135623","124724","109979","93517","81506","71185","137462","133922","120662","115363","112100","122728","130213","129601","129758","132000",
"전국","계","10세","수급자수","","21244","19673","15721","12820","11189","173","21341","22362","22125","20401","18801","22071","23928","23655","22043","22066",
"전국","계","11세","수급자수","","23919","21828","19726","15616","13100","7586","23983","23214","21595","22852","21487","21906","24687","25418","25308","23757",
"전국","계","12세","수급자수","","27228","24554","21827","19385","15945","8441","26393","26185","22573","22268","23950","24585","24323","26096","27099","27212",
"전국","계","13세","수급자수","","29901","28067","24676","21481","19686","9891","30417","29509","25927","23497","23626","27725","27410","25934","28067","29236",
"전국","계","14세","수급자수","","33331","30602","28029","24215","21586","11469","35328","32652","28442","26345","24236","26441","29865","28498","27241","29729",
"전국","계","15 - 19세","수급자수","","179584","176277","163648","146939","136087","125294","216066","209498","181195","165861","151038","150991","147840","145926","145882","147170",
"전국","계","15세","수급자수","","36248","34126","30589","27524","24378","13433","42871","38065","31772","29058","27156","27187","28386","31046","29881","28733",
"전국","계","16세","수급자수","","38245","37086","34053","29999","27643","16363","47269","48124","38297","33335","30726","31418","29278","29568","32741","31659",
"전국","계","17세","수급자수","","40361","38291","36201","32409","29534","20029","50300","49485","45376","38189","33239","33349","32467","29680","30393","33863",
"전국","계","18세","수급자수","","37245","38173","35165","32255","30134","21870","49266","48781","42961","42505","36257","34824","34064","32498","30214","31150",
"전국","계","19세","수급자수","","27485","28601","27640","24752","24398","24676","26360","25043","22789","22774","23660","24213","23645","23134","22653","21765",
"전국","계","20 - 24세","수급자수","","57899","60922","60897","59978","61542","63768","73263","72059","69115","73096","75153","87004","91310","87433","86651","87412",
"전국","계","20세","수급자수","","18083","18921","18822","18039","17551","27485","20051","19421","18279","18062","18048","20991","20251","18645","18516","18342",
"전국","계","21세","수급자수","","13405","14142","14686","14645","14867","27791","16038","15892","15427","16552","16263","18308","20312","18523","17562","17932",
"전국","계","22세","수급자수","","11220","11926","11888","12283","13169","23472","15501","15063","14254","15430","16284","18092","19096","19785","18547","18024",
"전국","계","23세","수급자수","","8591","9098","8972","8653","9429","17310","12422","12088","11836","12666","13471","16112","16788","16272","17700","16993",
"전국","계","24세","수급자수","","6600","6835","6529","6358","6526","14746","9251","9595","9319","10386","11087","13501","14863","14208","14326","16121",
"전국","계","25 - 29세","수급자수","","22906","21940","19979","17953","17639","18358","21631","22173","22767","26275","29684","38506","43814","44776","46439","50302",
"전국","계","25세","수급자수","","5033","5303","5101","4705","4847","13909","6455","6978","7225","8015","8855","10799","12065","12283","12182","12699",
"전국","계","26세","수급자수","","4472","4193","3969","3859","3775","10353","4561","4825","5029","5845","6394","8564","9389","9664","10162","11117",
"전국","계","27세","수급자수","","4495","3988","3475","3144","3275","7450","3857","3798","3979","4729","5416","7000","8241","8226","8729","9688",
"전국","계","28세","수급자수","","4378","4197","3489","3006","2874","5105","3334","3390","3347","3979","4725","6307","7184","7613","7784","8717",
"전국","계","29세","수급자수","","4528","4259","3945","3239","2868","3972","3424","3182","3187","3707","4294","5836","6935","6990","7582","8081",
"전국","계","30 - 34세","수급자수","","30736","28280","25767","23562","22293","21259","23686","21897","20323","23137","27200","35868","41330","43843","47286","52195",
"전국","계","30세","수급자수","","4846","4625","4210","3964","3361","3267","3502","3534","3339","3989","4819","6375","7735","8196","8465","9648",
"전국","계","31세","수급자수","","5076","5097","4678","4283","4097","3099","3880","3667","3680","4190","5102","6937","7940","8712","9684","9971",
"전국","계","32세","수급자수","","6115","5345","5141","4745","4507","2915","4487","4025","3877","4605","5229","7151","8287","8656","9757","10953",
"전국","계","33세","수급자수","","6590","6370","5364","5160","4947","3051","5604","4747","4319","4922","5790","7325","8538","9002","9482","10973",
"전국","계","34세","수급자수","","8109","6843","6374","5410","5381","3574","6213","5924","5108","5431","6260","8080","8830","9277","9898","10650",
"전국","계","35 - 39세","수급자수","","68599","61726","52480","45027","39104","35806","40575","38960","37593","42944","47494","57293","61695","59932","60391","63243",
"전국","계","35세","수급자수","","9887","8447","6899","6458","5677","4428","6903","6509","6367","6570","6784","8699","9859","9686","10436","11194",
"전국","계","36세","수급자수","","12172","10353","8525","6991","6686","4874","7390","7305","6915","7995","8298","9415","10498","10766","10827","11762",
"전국","계","37세","수급자수","","13455","12626","10416","8551","7182","5332","7702","7718","7732","8628","9963","11281","11401","11690","11932","12229",
"전국","계","38세","수급자수","","15632","14042","12677","10415","8870","5722","9024","7978","8206","9583","10694","13457","13731","12721","12998","13425",
"전국","계","39세","수급자수","","17453","16258","13963","12612","10689","6064","9556","9450","8373","10168","11755","14441","16206","15069","14198","14633",
"전국","계","40 - 44세","수급자수","","113626","108072","99253","88518","80048","73102","78434","69911","63530","65376","69158","84302","94957","98097","102611","103752",
"전국","계","40세","수급자수","","20066","17977","16254","13845","12877","7123","11521","9863","9867","10291","12363","15684","17346","17731","16769","15849",
"전국","계","41세","수급자수","","22833","20454","17800","16011","14131","7599","13774","11832","10254","11808","12223","16450","18707","19034","19639","18676",
"전국","계","42세","수급자수","","22761","23246","20078","17335","16138","9298","16176","14045","12176","12176","13939","15957","19269","20368","20994","21670",
"전국","계","43세","수급자수","","23228","23092","22757","19452","17430","11179","17446","16505","14412","14378","14096","18058","18650","20916","22353","23109",
"전국","계","44세","수급자수","","24738","23303","22364","21875","19472","13301","19517","17666","16821","16723","16537","18153","20985","20048","22856","24448",
"전국","계","45 - 49세","수급자수","","132883","128224","118337","108244","105967","103602","113304","109808","105217","109274","112882","127874","131142","128450","125794","128026",
"전국","계","45세","수급자수","","24628","24651","22382","21225","21596","14413","20772","19587","17992","19125","18994","20720","21042","22356","21723","24974",
"전국","계","46세","수급자수","","24580","24469","23619","21119","20793","16522","22526","20732","19856","20299","21460","23710","23581","22388","24026","23468",
"전국","계","47세","수급자수","","27305","24332","23460","22311","20612","17687","24311","22453","20812","22235","22535","26280","26595","25055","24016","25726",
"전국","계","48세","수급자수","","28120","27090","23163","21960","21641","19573","23137","24058","22494","23134","24562","27524","29385","28016","26572","25611",
"전국","계","49세","수급자수","","28250","27682","25713","21629","21325","21573","22558","22978","24063","24481","25331","29640","30539","30635","29457","28247",
"전국","계","50 - 54세","수급자수","","114124","119558","121081","117505","115051","113678","121131","116896","114606","125644","134888","157281","172713","175140","175218","175641",
"전국","계","50세","수급자수","","25828","27915","26263","24056","21037","20670","23489","22371","22939","26163","26489","30436","33050","31923","32055","30994",
"전국","계","51세","수급자수","","23375","25376","26832","24599","23361","20384","23166","23174","22292","24972","28113","31384","33589","34227","33504","33688",
"전국","계","52세","수급자수","","23121","22993","24153","25240","23829","21402","23093","23055","23100","24206","26878","33147","34812","34969","35705","35385",
"전국","계","53세","수급자수","","20679","22764","21949","22782","24545","21126","25332","22971","23139","25156","26178","31533","36489","36127","36284","37566",
"전국","계","54세","수급자수","","21121","20510","21884","20828","22279","21018","26051","25325","23136","25147","27230","30781","34773","37894","37670","38008",
"전국","계","55 - 59세","수급자수","","75402","82738","87834","89775","95502","102817","119446","125858","130303","142546","151959","170538","180683","183502","191828","199635",
"전국","계","55세","수급자수","","17687","20929","19786","20801","20456","23109","27026","26172","25570","25102","27458","31894","33958","36147","39301","39497",
