region,year,population,low_income_pop,grdp_per_capita,practicing,aid_cases,total_cases,civil_main,criminal_trial,A1,A2,A3,A1n,A2n,A3n,A2n_inv,LLAI_equal,LLAI_entropy,LLAI_pca,LLAI,cluster,cluster_rank
서울,2024,9331828.0,434287.0,,24572.0,22072.0,398500.0,340346.0,41876.0,263.31389734144267,16.21764610125346,0.0508235337461172,1.0,0.0,0.4300803969788811,1.0,81.00267989929604,86.92536070236497,89.22728402027101,86.92536070236497,1,0
제주,2024,670368.0,35293.0,,154.0,2495.0,14778.0,9026.0,4872.0,22.972456919184687,95.96103896103897,0.0706939053070013,0.0411798137480903,0.7612654176596197,1.0,0.2387345823403802,42.66381320294902,28.710397327561623,30.265486138235325,28.710397327561623,0,1
경남권,2024,7593027.0,461912.0,,1882.0,22035.0,130618.0,84371.0,38154.0,24.78589895702992,69.403825717322,0.0477038916503576,0.0484143748351378,0.5077386073895587,0.3406031982593949,0.4922613926104413,29.375965523499133,17.376886743008605,28.391371139492687,17.376886743008605,0,1
경기,2024,16715695.0,660736.0,,2631.0,31645.0,282243.0,192828.0,70933.0,15.739698528837716,107.27594070695552,0.047893561119721,0.0123253859192334,0.869282434423984,0.3460432751272884,0.130717565576016,16.302874220751264,10.444137137759457,12.349051148728249,10.444137137759457,0,1
전남권,2024,3197241.0,203162.0,,629.0,8742.0,59419.0,38921.0,16962.0,19.673211997469068,94.4658187599364,0.0430297004361051,0.028017778001062,0.746991389554409,0.20653860902365,0.253008610445591,16.252166582343435,9.853708964339436,15.314254180343491,9.853708964339436,0,1
경북권,2024,4895013.0,306063.0,,847.0,12661.0,78234.0,49661.0,23805.0,17.303324832845185,92.3659976387249,0.0413673001963648,0.018563329993309,0.7269455757819717,0.1588578456422487,0.2730544242180283,15.015853328452868,8.418949207021305,14.844407923271472,8.418949207021305,0,1
충남권,2024,3966416.0,178605.0,,813.0,6686.0,67013.0,43280.0,19380.0,20.497093597847527,82.42681426814268,0.0374345623022871,0.0313045782637903,0.6320617702596019,0.0460595312015146,0.3679382297403981,14.84341130685677,7.8924245079690785,17.08179853464546,7.8924245079690785,0,1
전북,2024,1738690.0,130243.0,,321.0,4935.0,27523.0,17321.0,8504.0,18.462175545957013,85.74143302180686,0.0378907119768432,0.0231864588829083,0.6637045752544601,0.0591427612077914,0.3362954247455398,13.954154827874657,7.257875305839076,15.715278457051566,7.257875305839076,0,1
충북,2024,1591177.0,79187.0,,232.0,2891.0,24972.0,15708.0,7690.0,14.580401803193483,107.63793103448276,0.0365085178122671,0.0077004777034445,0.8727381529229234,0.0194988347135314,0.1272618470770765,5.148705316468419,2.6117896278444337,5.849070169154063,2.6117896278444337,0,1
강원,2024,1517766.0,84290.0,,192.0,3020.0,23226.0,13904.0,7805.0,12.650171370290282,120.96875,0.0358286866769486,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
