region,2019,2020,2021,2022,2023,2024
강원,155.8,152.4,142.0,133.3,135.8,153.0
경기,146.3,158.4,140.7,126.7,137.8,146.7
경남,145.7,155.1,144.6,128.3,127.3,134.4
광주권,172.7,187.0,170.7,154.4,166.4,185.8
대구권,160.1,170.2,156.3,143.0,141.8,159.8
대전권,160.6,168.8,158.5,142.6,154.3,169.0
부산,211.8,218.1,195.8,185.7,186.2,198.3
서울,572.3,510.6,442.1,427.7,449.4,427.0
울산,206.6,223.1,209.7,189.1,200.6,204.6
인천,265.8,296.9,262.7,236.5,254.0,269.3
전북,156.2,174.1,161.4,145.1,151.5,158.3
제주,201.7,222.5,198.4,191.6,198.4,220.4
충북,149.4,157.5,142.9,132.1,145.9,156.9
