sido_code,sido_name,region13_code,region13_name,bar_association,primary_court,note
11,서울특별시,R01,서울,서울지방변호사회,서울중앙·동부·서부·남부·북부지방법원,
41,경기도,R02,경기,경기중앙지방변호사회+경기북부지방변호사회,수원지방법원+의정부지방법원,변협 2개 지방회를 경기로 통합
28,인천광역시,R03,인천,인천지방변호사회,인천지방법원,
51,강원특별자치도,R04,강원,강원지방변호사회,춘천지방법원,구 코드 42
43,충청북도,R05,충북,충북지방변호사회,청주지방법원,
30,대전광역시,R06,대전권,대전지방변호사회,대전지방법원,대전회가 대전+세종+충남 관할
36,세종특별자치시,R06,대전권,대전지방변호사회,대전지방법원,변협상 대전권에 통합(독립 분리 불가)
44,충청남도,R06,대전권,대전지방변호사회,대전지방법원,변협상 대전권에 통합(독립 분리 불가)
27,대구광역시,R07,대구권,대구지방변호사회,대구지방법원,대구회가 대구+경북 관할
47,경상북도,R07,대구권,대구지방변호사회,대구지방법원,변협상 대구권에 통합(독립 분리 불가)
26,부산광역시,R08,부산,부산지방변호사회,부산지방법원,
31,울산광역시,R09,울산,울산지방변호사회,울산지방법원,
48,경상남도,R10,경남,경남지방변호사회,창원지방법원,
29,광주광역시,R11,광주권,광주지방변호사회,광주지방법원,광주회가 광주+전남 관할
46,전라남도,R11,광주권,광주지방변호사회,광주지방법원,변협상 광주권에 통합(독립 분리 불가)
45,전북특별자치도,R12,전북,전북지방변호사회,전주지방법원,구 코드 52
50,제주특별자치도,R13,제주,제주지방변호사회,제주지방법원,
